Date,Leader's Price,Follower's Price,Cost
1,1.781,1.278,1
2,1.731,1.438,1
3,1.827,1.247,1
4,1.719,1.254,1
5,1.823,1.375,1
6,1.744,1.454,1
7,1.740,1.290,1
8,1.850,1.407,1
9,1.787,1.314,1
10,1.873,1.357,1
11,1.765,1.423,1
12,1.786,1.296,1
13,1.821,1.271,1
14,1.783,1.298,1
15,1.777,1.307,1
16,1.775,1.483,1
17,1.728,1.408,1
18,1.898,1.259,1
19,1.781,1.237,1
20,1.812,1.279,1
21,1.778,1.398,1
22,1.758,1.383,1
23,1.763,1.516,1
24,1.726,1.274,1
25,1.783,1.275,1
26,1.890,1.361,1
27,1.774,1.244,1
28,1.886,1.374,1
29,1.776,1.376,1
30,1.862,1.262,1
31,1.878,1.265,1
32,1.782,1.481,1
33,1.724,1.271,1
34,1.772,1.293,1
35,1.730,1.255,1
36,1.719,1.298,1
37,1.761,1.366,1
38,1.873,1.577,1
39,1.900,1.402,1
40,1.786,1.355,1
41,1.784,1.442,1
42,1.790,1.288,1
43,1.787,1.341,1
44,1.806,1.266,1
45,1.900,1.474,1
46,1.715,1.388,1
47,1.783,1.319,1
48,1.780,1.329,1
49,1.785,1.355,1
50,1.891,1.434,1
51,1.774,1.317,1
52,1.858,1.291,1
53,1.875,1.281,1
54,1.785,1.471,1
55,1.838,1.378,1
56,1.773,1.243,1
57,1.786,1.263,1
58,1.719,1.315,1
59,1.777,1.288,1
60,1.769,1.298,1
61,1.786,1.363,1
62,1.779,1.299,1
63,1.780,1.454,1
64,1.726,1.264,1
65,1.729,1.320,1
66,1.785,1.297,1
67,1.784,1.279,1
68,1.772,1.303,1
69,1.775,1.405,1
70,1.746,1.338,1
71,1.879,1.297,1
72,1.773,1.409,1
73,1.835,1.407,1
74,1.782,1.295,1
75,1.787,1.313,1
76,1.774,1.423,1
77,1.782,1.421,1
78,1.777,1.290,1
79,1.887,1.350,1
80,1.778,1.346,1
81,1.775,1.300,1
82,1.777,1.296,1
83,1.774,1.233,1
84,1.722,1.253,1
85,1.780,1.250,1
86,1.781,1.421,1
87,1.776,1.353,1
88,1.758,1.272,1
89,1.757,1.256,1
90,1.744,1.273,1
91,1.868,1.513,1
92,1.839,1.315,1
93,1.779,1.330,1
94,1.778,1.399,1
95,1.778,1.393,1
96,1.813,1.378,1
97,1.774,1.255,1
98,1.868,1.408,1
99,1.773,1.430,1
100,1.776,1.314,1
