Date,Leader's Price,Follower's Price,Cost,Leader's Price dL/dD,Leader's Price d2L/dD2,Profit,Profit dP/dD,Profit d2P/dD2
100,1.0,1.805600345606945,1.0,0.026743199157994946,0.0,0.0,0.0,0.0
101,1.026743199157995,3.0637385820426486,1.0,0.026743199157994946,0.0,2.7828304397062977,0.0,0.0
102,1.0802295974739848,2.8375941518159298,1.0,0.05348639831598989,0.026743199157994946,8.272604928258549,5.489774488552251,5.489774488552251
103,1.1872023941059646,3.212171798967632,1.0,0.10697279663197978,0.05348639831598989,19.412982511410828,11.14037758315228,5.6506030946000285
104,1.4011479873699242,3.227221785451943,1.0,0.21394559326395957,0.10697279663197978,41.18824083337935,21.775258321968526,10.634880738816246
105,1.8290391738978433,3.717709593032694,1.0,0.42789118652791913,0.21394559326395957,84.56857243040876,43.38033159702941,21.605073275060885
106,2.684821546953682,4.057756824373772,1.0,0.8557823730558385,0.42789118652791935,166.3747171252126,81.80614469480385,38.42581309777444
107,4.396386293065358,5.6138714473877425,1.0,1.7115647461116765,0.855782373055838,322.1801266874139,155.8054095622013,73.99926486739746
108,7.819515785288711,7.121119443580079,1.0,3.423129492223353,1.7115647461116765,561.0127812366802,238.8326545492663,83.02724498706499
109,14.665774769735417,13.559300356647695,1.0,6.846258984446706,3.423129492223353,920.3766369666007,359.3638557299205,120.5312011806542
110,28.35829273862883,22.51926065397133,1.0,13.692517968893412,6.846258984446706,704.9224779936852,-215.45415897291548,-574.818014702836
111,55.74332867641566,47.569414982783016,1.0,27.385035937786828,13.692517968893416,-1971.219590568972,-2676.142068562657,-2460.6879095897416
112,110.51340055198932,89.9248569809873,1.0,54.77007187557366,27.385035937786835,-20018.220803445645,-18047.001212876672,-15370.859144314014
113,220.05354430313665,177.09888472905007,1.0,109.54014375114733,54.77007187557366,-102729.77447394008,-82711.55367049444,-64664.55245761777
114,439.1338318054313,325.83385681289485,1.0,219.08028750229468,109.54014375114735,-489907.0501889063,-387177.27571496624,-304465.72204447177
115,877.2944068100207,696.324792623108,1.0,438.1605750045894,219.08028750229474,-1925654.905089347,-1435747.8549004407,-1048570.5791854744
116,1753.6155568191996,1161.2542245690126,1.0,876.3211500091788,438.1605750045894,-9086111.313920539,-7160456.408831192,-5724708.553930752
117,3506.2578568375575,2429.7937082802077,1.0,1752.642300018358,876.3211500091791,-35550003.25887658,-26463891.94495604,-19303435.536124848
118,7011.542456874273,5040.880764598966,1.0,3505.2846000367153,1752.6423000183574,-139054600.30399507,-103504597.0451185,-77040705.10016246
119,14022.111656947704,10186.680408333006,1.0,7010.569200073431,3505.2846000367153,-553140104.6189278,-414085504.31493276,-310580907.26981425
120,28043.250057094563,18560.790385468674,1.0,14021.13840014686,7010.569200073429,-2367715951.8277884,-1814575847.2088604,-1400490342.8939276
121,56085.52685738828,42643.95598909959,1.0,28042.276800293715,14021.138400146856,-8547044449.106263,-6179328497.278475,-4364752650.069614
122,112170.08045797571,90056.67030359706,1.0,56084.55360058743,28042.276800293715,-32594135300.110928,-24047090851.004665,-17867762353.72619
123,224339.18765915057,154167.98336624846,1.0,112169.10720117486,56084.55360058743,-147859502132.7829,-115265366832.67197,-91218275981.6673
124,448677.4020615003,358706.6133272956,1.0,224338.21440234972,112169.10720117486,-523680366585.99915,-375820864453.21625,-260555497620.54428
125,897353.8308661997,602662.8260443388,1.0,448676.4288046994,224338.21440234967,-2403721687772.8457,-1880041321186.8467,-1504220456733.6304
126,1794706.6884755986,1369547.794969084,1.0,897352.8576093989,448676.4288046995,-8730866389382.2705,-6327144701609.425,-4447103380422.578
127,3589412.4036943964,2658964.3748256946,1.0,1794705.7152187978,897352.8576093989,-35786678983724.06,-27055812594341.793,-20728667892732.367
128,7178823.8341319915,5340756.175414875,1.0,3589411.430437595,1794705.7152187973,-142655777280305.9,-106869098296581.84,-79813285702240.05
129,14357646.695007183,10195377.146734994,1.0,7178822.860875191,3589411.430437596,-591563747141067.5,-448907969860761.6,-342038871564179.75
